galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,n_data,selected,excl_reason,Ref,M_star_1e9_Msun,M_gas_1e9_Msun,M_b_1e9_Msun,M_vir_1e9_Msun,f_d,E,log_E,e_log_E,Vflat_source
CamB,10,3.36,0.26,2,65.0,5.0,0.075,0.003,1.21,7.89,0.47,66.2,0.012,1.21,0.0,0.0,2,9,False,n<10,Bm03,0.0375,0.015960000000000002,0.05346,3.7354764600000006,0.08418486680419184,11.878619494949499,1.0747659709007964,,estimated_Vlast
D512-2,10,15.2,4.56,1,56.0,10.0,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0.0,0.0,0.0,2,4,False,n<10,Tr09,0.1625,0.10773,0.27023,21.283408339999998,0.07468673296591545,13.389258845427968,1.1267565375609687,,estimated_Vlast
D564-8,10,8.79,0.28,2,63.0,7.0,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0.0,0.0,0.0,2,6,False,n<10,Tr09,0.0165,0.03857000000000001,0.05507000000000001,7.1875,0.045070076726342716,22.18767023787906,1.3461117025946783,,estimated_Vlast
D631-7,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,16,True,,"Tr09,dB01",0.098,0.3857,0.4837,88.36601518000002,0.032198963728886545,31.056900104610307,1.4921581051385873,0.060966816350369844,measured
DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,14,True,,"dB02,Sw02",0.0785,0.28063,0.35913,45.06720326000001,0.046875094502252135,21.33329032439507,1.3290578437065659,0.1102222437802179,measured
DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,12,True,,"Be91,CB89",0.0265,0.3657500000000001,0.3922500000000001,47.75858,0.048312846428358446,20.698428553218605,1.315937374608026,0.027720924376803308,measured
DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,31,True,,Co00,0.274,1.83274,2.1067400000000003,134.05975361999998,0.0924407803286109,10.817736462686423,1.0341363971286766,0.03733753464326599,measured
DDO168,10,4.25,0.21,2,63.0,6.0,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,10,True,,"Sa96,Br92",0.0955,0.54929,0.64479,70.04571983999999,0.05414866692218974,18.467675324989525,1.2664122307369694,0.046357276158212266,measured
DDO170,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,8,False,n<10,"Be91,La90",0.2715,0.97755,1.24905,99.36,0.07394678886047172,13.523237660622074,1.1310806804967999,0.03474355855226015,measured
ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,15,True,,Ge04,25.8665,4.176200000000001,30.0427,2465.3125,0.07168331183405038,13.950248313234164,1.1445819380832791,0.026057668914195108,measured
