Rad_kpc,Vobs_km/s,errV_km/s,Vgas_km/s,Vdisk_km/s,Vbul_km/s,SBdisk_L/pc^2,SBbul_L/pc^2,galaxy,Inc_deg,e_Inc_deg,D_Mpc,e_D_Mpc,log_Mstar,upsilon_disk,upsilon_bulge,c_dm,d_kpc,gamma_true,z_Mstar
1.45,166.51644275387264,8.519500537629375,0.0,240.9,0.0,1579.45,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
2.88,156.39216586578505,8.22754934130782,0.0,232.56,0.0,725.11,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
4.33,167.2444845864222,8.337152908754202,0.0,235.54,0.0,586.66,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
5.78,184.22637709116307,8.632826565774215,0.0,243.76,0.0,431.16,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
7.22,169.60321724285242,8.694126140106006,0.0,245.32,0.0,356.04,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
8.66,173.8727469407842,8.97198182318558,0.0,253.0,0.0,328.2,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
11.55,205.10459882979634,10.010062465461637,11.24,281.58,0.0,253.05,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
14.48,218.63573435183346,10.740135967949978,27.45,299.81,0.0,153.39,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
17.28,215.12630890695183,10.699919247755576,40.74,295.15,0.0,98.5,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
20.2,205.41664057524773,10.771981245100491,51.22,293.48,0.0,65.35,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
23.12,211.342356671287,10.582595844306262,57.81,284.89,0.0,32.44,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
26.04,206.94078367569446,9.9994081619016,56.95,267.33,0.0,13.89,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
28.84,175.47269518128473,9.405805808929303,55.22,249.73,0.0,7.22,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
31.76,174.14024291227534,8.910900572976587,52.84,235.27,0.0,4.16,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
34.68,154.1800739815635,8.518811617214574,50.68,223.76,0.0,1.44,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
37.48,150.77946321233858,8.058564300303173,48.19,210.28,0.0,0.0,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
40.4,139.78768439224584,7.698295221662298,45.17,200.01,0.0,0.0,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
43.32,146.30922743905379,7.402474173259828,42.57,191.48,0.0,0.0,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
46.24,134.15133726053293,7.161401521028292,40.95,184.17,0.0,0.0,0.0,NGC5371,53.0,2.0,39.7,9.92,2.230950624806643,0.5001416466991507,0.7498468886105577,6443.0557071284065,33.8818530105051,0.2307670501603652,1.3461647491981739
0.34,23.66085052005572,1.2157893811256957,4.29,19.73,0.0,106.8,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
0.68,35.60469911029715,1.7845626041863794,6.17,28.0,0.0,66.32,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
1.02,42.927132490261826,2.1342650540562214,5.94,31.57,0.0,28.35,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
